tse_id,url,sg_uf.x,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
RS-00034/2014,"https://www.em.com.br/app/noticia/politica/2014/10/23/interna_politica,582690/datafolha-no-rs-sartori-tem-60-e-tarso-genro-40.shtml",RS,RIO GRANDE DO SUL,1,G,0.0,,,José Ivo Sartori,53.0,Tarso Genro,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-00034/2014,"https://www.em.com.br/app/noticia/politica/2014/10/24/interna_politica,582816/datafolha-no-rs-dilma-tem-51-e-aecio-49.shtml",RS,RIO GRANDE DO SUL,1,PR,0.0,,,Dilma,46.0,Aecio Neves,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-00035/2012,http://www.jomoraes.com.br/novosite/manuela-sai-na-frente,RS,PORTO ALEGRE,1,P,1.0,,,Manuela D'Ávila,38.6,Fortunati,33.5,Villaverde,7.4,Robaina,1.8,Wambert Di Lorenzo,1.0,,,,,,,,,,,,,,,,,,,,
RS-00035/2012,https://eleicoes.uol.com.br/2012/noticias/2012/07/17/pesquisa-methodus-manuela-tem-38-fortunati-33-em-porto-alegre.htm,RS,PORTO ALEGRE,1,P,0.0,,,Manuela D'Ávila,11.6,Fortunati,13.1,Villaverde,1.6,,,,,,,,,,,,,,,,,,,,,,,,
RS-00036/2012,"https://www.informativo.com.br/reportagens-especiais/ze-iran-tem-vantagem-em-cruzeiro-do-sul,6320.jhtml",RS,CRUZEIRO DO SUL,1,P,0.0,,,Josê Iran Maria,18.5,Cesar Leandro Marmitt,18.0,Jorge Alfredo Siebenborn,16.5,,,,,,,,,,,,,,,,,,,,,,,,
RS-00037/2012,"https://www.informativo.com.br/reportagens-especiais/vantagem-de-schmidt-frente-a-caumo-chega-a-62p-em-lajeado,6346.jhtml",RS,LAJEADO,1,P,1.0,,,Fernando Schmidt,69.3,Marcelo Caumo,7.3,Juliana Nascimento,4.8,,,,,,,,,,,,,,,,,,,,,,,,
RS-00039/2012,"https://www.informativo.com.br/reportagens-especiais/em-teutonia-dois-cenarios-apontam-empate-na-disputa-,6361.jhtml",RS,TEUTÔNIA,1,P,0.0,,,Renato Airton Altmann,17.5,Brönstrup,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-00044/2012,https://radiocaxias.com.br/portal/noticias/candidatos-a-prefeito-avaliam-resultados-de-primeira-pesquisa-eleitoral-17774,RS,CAXIAS DO SUL,1,p,0.0,,,Alceu Barbosa Velho,10.8,Assis Melo,4.8,Marcos Daneluz,4.3,Milton Corlatti,2.7,,,,,,,,,,,,,,,,,,,,,,
RS-00044/2012,"https://www.terra.com.br/noticias/brasil/politica/rs-pesquisa-aponta-candidato-do-pdt-a-frente-em-caxias-do-sul,75ad0a43aa1da310VgnCLD200000bbcceb0aRCRD.html",RS,CAXIAS DO SUL,1,p,1.0,,,Alceu Barbosa Velho,38.7,Assis Melo,23.2,Marcos Daneluz,16.5,Milton Corlatti,11.3,,,,,,,,,,,,,,,,,,,,,,
RS-00053/2012,https://www.sul21.com.br/noticias/2012/08/concorrentes-apostam-em-juventude-para-tentar-superar-marroni-em-pelotas/,RS,PELOTAS,1,p,0.0,,,Fernando Marroni,4.3,Catarina Paladini,2.8,,,Matteo Chiarelli,1.5,,,,,,,,,,,,,,,,,,,,,,
RS-00082/2012,https://issuu.com/anuncios.marcelo/docs/edicao_237,RS,FARROUPILHA,1,p,0.0,,,Aldemir Barreta,22.3,Claiton Gonçalves,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-00082/2012,https://issuu.com/anuncios.marcelo/docs/edicao_237,RS,FARROUPILHA,1,p,1.0,,,Aldemir Barreta,43.8,Claiton Gonçalves,41.5,Glacir Gomes,1.5,,,,,,,,,,,,,,,,,,,,,,,,
RS-00093/2012,https://ultimosegundo.ig.com.br/politica/2012-08-29/datafolha-fortunati-e-manuela-aparecem-em-empate-tecnico-em-porto-alegre.html,RS,PORTO ALEGRE,1,p,1.0,,,Fortunati,36.0,Manuela D'Ávila,32.0,Villaverde,7.0,Robaina,2.0,,,,,,,,,,,,,,,,,,,,,,
RS-00114/2012,"https://www.informativo.com.br/reportagens-especiais/caumo-cresce-mas-schmidt-lidera-com-62-8p,7244.jhtml",RS,LAJEADO,1,P,0.0,,,Fernando Schmidt,47.5,Marcelo Caumo,15.8,Juliana Nascimento,1.3,,,,,,,,,,,,,,,,,,,,,,,,
RS-00114/2012,"https://www.informativo.com.br/reportagens-especiais/caumo-cresce-mas-schmidt-lidera-com-62-8p,7244.jhtml",RS,LAJEADO,1,P,1.0,,,Fernando Schmidt,62.8,Marcelo Caumo,23.3,Juliana Nascimento,2.5,,,,,,,,,,,,,,,,,,,,,,,,
RS-00115/2012,"https://www.informativo.com.br/eleicoes-2012/mallmann-cresce-nas-intencoes-de-voto-em-estrela,7213.jhtml",RS,ESTRELA,1,p,1.0,,,Rafael Mallmann,59.5,Eduardo Wagner,21.0,Gilmar Neitzke,8.0,,,,,,,,,,,,,,,,,,,,,,,,
RS-00129/2012,"https://www.informativo.com.br/eleicoes-2012/costi-lidera-com-44p-seguido-por-orsolin-com-36-8p,7303.jhtml",RS,ENCANTADO,1,P,1.0,,,Costi,44.0,Orsolin,36.8,Denise,6.5,,,,,,,,,,,,,,,,,,,,,,,,
RS-00130/2012,"https://www.informativo.com.br/eleicoes-2012/eckert-e-bruxel-aparecem-empatados-em-arroio-do-meio,7356.jhtml",RS,ARROIO DO MEIO,1,P,1.0,,,Eckert,37.8,Bruxel,37.8,Bersch,9.0,,,,,,,,,,,,,,,,,,,,,,,,
RS-00130/2012,"https://www.informativo.com.br/eleicoes-2012/eckert-e-bruxel-aparecem-empatados-em-arroio-do-meio,7356.jhtml",RS,ARROIO DO MEIO,1,P,0.0,,,Eckert,34.3,Bruxel,31.0,Bersch,12.3,,,,,,,,,,,,,,,,,,,,,,,,
RS-00131/2012,"https://www.informativo.com.br/economia/ze-iran-cai-dingola-cresce-e-lidera-disputa-em-cruzeiro-,7327.jhtml",RS,CRUZEIRO DO SUL,1,P,1.0,,,Dingola,42.8,Siebenborn,28.8,Zé Iran,21.5,,,,,,,,,,,,,,,,,,,,,,,,
RS-00131/2012,"https://www.informativo.com.br/economia/ze-iran-cai-dingola-cresce-e-lidera-disputa-em-cruzeiro-,7327.jhtml",RS,CRUZEIRO DO SUL,1,P,0.0,,,Dingola,35.0,Siebenborn,22.5,Zé Iran,16.0,,,,,,,,,,,,,,,,,,,,,,,,
RS-00195/2012,"https://www.terra.com.br/noticias/brasil/politica/rs-pesquisa-eleitoral-aponta-vitoria-de-jairo-jorge-em-canoas,4448cdbb1d86b310VgnCLD200000bbcceb0aRCRD.html",RS,CANOAS,1,p,1.0,,, Jairo Jorge ,65.2,Coffy Rodrigues,8.7,Gisele Uequed,6.5,Paulo Sérgio,1.2,,,,,,,,,,,,,,,,,,,,,,
RS-00230/2012,https://rodrigodossantos15115.blogspot.com/,RS,NOVA PETRÓPOLIS,1,p,1.0,,,Lelo,52.3,Ricardo,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-00368/2012,"https://www.informativo.com.br/eleicoes-2012/mallmann-mantem-lideranca-com-60p-das-intencoes-de-voto,7667.jhtml",RS,ESTRELA,1,p,0.0,,,Rafael Mallmann,56.3,Wagner,22.0,Neitzke,8.0,,,,,,,,,,,,,,,,,,,,,,,,
RS-00388/2016,https://www.todapolitica.com/eleicoes-2016/pesquisa-eleitoral-porto-alegre/,RS,PORTO ALEGRE,1,p,1.0,,,Sebastião Melo,29.0,Raul Pont,17.0,Nelson Marchezan Júnior,17.0,Luciana Genro,12.0,Diziedricki ,7.0,Chiodo,1.0,Flores,1.0,Ostermann,1.0,,,,,,,,,,,,,,
RS-00420/2012,https://folhadomate.com/noticias/diferenca-entre-airton-e-nilson-cai-para-292/,RS,VENÂNCIO AIRES,1,p,,,,Airton Artus,56.8, Nilson Lehmen,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-00473/2012,"https://politica.estadao.com.br/noticias/geral,porto-alegre-pesquisa-indica-que-nao-havera-2-turno,941184",RS,PORTO ALEGRE,1,p,1.0,,,Fortunati,55.7,Manuela,24.1,Villaverde,7.3,,,,,,,,,,,,,,,,,,,,,,,,
RS-00473/2012,https://www.sul21.com.br/noticias/2012/10/ibope-e-methodus-reforcam-possivel-vitoria-em-1o-turno-de-fortunati-em-porto-alegre/,RS,PORTO ALEGRE,1,p,0.0,,,Fortunati,49.1,Manuela,20.4,Villaverde,6.1,,,,,,,,,,,,,,,,,,,,,,,,
RS-00801/2016,https://blogdovagnermagalhaes.blogspot.com/2017/03/rosane-bordignon-pdt-lidera-pesquisa.html,RS,GRAVATAÍ,1,p,,,,Rosane Bordignon,28.2,Marco Alba,26.2,Anabel Lorenzi,17.4,Valter Amaral ,1.0,,,,,,,,,,,,,,,,,,,,,,
RS-01468/2016,http://www.gaz.com.br/conteudos/politica/2016/09/08/80071-diferenca_entre_sergio_moraes_e_telmo_kirst_e_de_12_pontos.html.php,RS,SANTA CRUZ DO SUL,1,p,1.0,,,Sérgio Moraes,37.3,Telmo Kirst,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-01507/2016,https://www.qwerty.com.br/2016/09/17/pesquisa-apresenta-amostra-da-intencao-de-voto-dos-bageenses/,RS,BAGÉ,1,p,0.0,,,Lara,53.5,Dr Fico,6.3,Zoinho,1.3,Brito,1.3,,,,,,,,,,,,,,,,,,,,,,
RS-03795/2018,https://guaiba.com.br/2018/10/26/realtime-big-data-mostra-leite-com-56-e-sartori-com-44/,RS,RIO GRANDE DO SUL,1,G,1.0,,,Eduardo Leite,56.0,Sartori,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-05933/2018,https://deholandacavalcanti.blogspot.com/2018/06/,RS,RIO GRANDE DO SUL,1,g,0.0,,,José Ivo Sartori,17.5,Jairo Jorge,10.0,Eduardo Leite,8.0,Miguel Rossetto,8.1,,,,,,,,,,,,,,,,,,,,,,
RS-06214/2016,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/elei%C3%A7%C3%B5es/divulgada-pesquisa-eleitoral-para-segundo-turno-em-caxias-do-sul-1.215602,RS,CAXIAS DO SUL,1,p,1.0,,,Daniel Guerra,50.6,Edson Néspolo,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-06686/2016,https://issuu.com/informantef/docs/edi____o_448/14,RS,FARROUPILHA,1,p,0.0,,,Pasqual,29.5,Cleiton Gonçalves,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-08378/2016,https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/elei%C3%A7%C3%B5es/pesquisa-revela-n%C3%BAmeros-da-disputa-eleitoral-em-canoas-1.215514,RS,CANOAS,1,p,0.0,,, Beth Colombo,35.4, Luiz Carlos Busato,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-08734/2018,https://www.sul21.com.br/ultimas-noticias/politica/eleicoes-2018/2018/10/pesquisa-methodus-para-o-senado-no-rs-paim-30-fogaca-26-e-beto-20/,RS,RIO GRANDE DO SUL,1,s,1.0,,,Paulo Paim,30.1,José Fogaça,26.27,Beto Albuquerque,20.0, Luis Carlos Heinze,14.19,Carmen Flores ,10.67,Abigail Pereira,8.91,Sandra Weber,2.1,Ana Varela,1.7,Mario Bernd,1.5,,,,,,,,,,,,
SC-02597/2018,http://www.diariodoplanalto.com.br/psl-desponta-na-inten%C3%A7%C3%A3o-de-votos-dos-eleitores-catarinenses-1.2103103,SC,SANTA CATARINA,1,g,0.0,,,Comandante Moisés,45.6,Gelson Merisio,19.18,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-04745/2018,http://www.jornalmetas.com.br/pol%C3%ADtica/bolsonaro-lidera-corrida-%C3%A0-presid%C3%AAncia-em-sc-1.2093698,SC,SANTA CATARINA,1,pr,0.0,,,Jair Bolsonaro,23.0,Fernando Haddad,3.0,Ciro Gomes,3.0,Geraldo Alckmin,5.0,Marina Silva,3.0,João Amoedo,4.0,Alvaro Dias,3.0,,,,,,,,,,,,,,,,
SC-04745/2018,https://biguanews.com.br/amin-e-colombo-lideram-pesquisa-para-senador-da-republica/,SC,SANTA CATARINA,1,S,1.0,,,Espiridião Amin,31.0,Raimundo Colombo,29.0,Paulo Bauer,24.0,Roberto Salum,7.0,Jorginho Mello,6.0,Salvatio,6.0,Esmeraldino,4.0,Cabral,3.0,Rosa,3.0,,,,,,,,,,,,
SC-04745/2018,https://biguanews.com.br/nova-pesquisa-aponta-empate-tecnico-para-governador-de-sc-entre-tres-candidatos/,SC,SANTA CATARINA,1,g,1.0,,,Mariani,20.0,Merisio,18.0,Decio Lima,16.0,Moises da Silva,5.0,,,,,,,,,,,,,,,,,,,,,,
SE-06389/2018,https://blogdoreginaldo.blogspot.com/2018/10/belivaldo-lidera-com-folga-em-mais-uma.html,SE,SERGIPE,1,g,1.0,,1.0,Belivaldo Chagas,55.0,Valadares Filho,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-07705/2018,http://jlpolitica.com.br/noticias/eleicoes-2018/segundo-pesquisa-belivaldo-vencera-com-16-pontos-de-frente,SE,SERGIPE,1,g,1.0,,1.0,Belivaldo Chagas,58.0,Valadares Filho,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-00007/2014,https://diariopoliticocustodiense.blogspot.com/2014/06/datafolha-dilma-tem-23-contra-20-de.html,SP,SÃO PAULO,1,PR,,Só em SP,,Dilma,23.0,Aécio,20.0,Eduardo Campos,6.0,Pastor Everaldo,4.0,Magno Malta,3.0,José Maria,2.0,,,,,,,,,,,,,,,,,,
SP-00007/2014,https://diariopoliticocustodiense.blogspot.com/2014/06/datafolha-dilma-tem-23-contra-20-de.html,SP,SÃO PAULO,1,PR,,No Brasil todo,,Dilma,34.0,Aécio,19.0,Eduardo Campos,7.0,Pastor Everaldo,0.0,Magno Malta,0.0,José Maria,0.0,,,,,,,,,,,,,,,,,,
SP-00029/2014,https://issuu.com/imprensaabc/docs/imprensa-abc-222,SP,SÃO PAULO,1,G,,,,Alckmin,49.0,Skaf,22.0,Padilha,9.0,,,,,,,,,,,,,,,,,,,,,,,,
SP-00029/2014,https://issuu.com/tribunadonorte/docs/140911053138-9584bd76e7e844e2a5793dde1e3caff4,SP,SÃO PAULO,1,S,,,,Serra,33.0,Suplicy,27.0,Kassab,7.0,,,,,,,,,,,,,,,,,,,,,,,,
SP-00029/2014,https://oglobo.globo.com/brasil/datafolha-mostra-serra-suplicy-tecnicamente-empatados-na-disputa-ao-senado-em-sp-13908992,SP,SÃO PAULO,1,S,,,,Serra,34.0,Suplicy,31.0,Kassab,9.0,,,,,,,,,,,,,,,,,,,,,,,,
SP-00064/2014,https://oglobo.globo.com/brasil/datafolha-mostra-vitoria-de-serra-na-disputa-pelo-senado-em-sp-14143333,SP,SÃO PAULO,1,S,,,,Serra,50.0,Suplicy,37.0,Kassab,9.0,Machado,2.0,Ana Luiza,1.0,Lucas,1.0,,,,,,,,,,,,,,,,,,
SP-00110/2012,https://ultima-noticias.blogspot.com/2012/,SP,SÃO PAULO,1,P,1.0,,,Serra,30.0,Russomano,26.0,Haddad,7.0,Chalita,6.0,Soninha,7.0,Paulinho,5.0,Giannazi,1.0,,,,,,,,,,,,,,,,
SP-00567/2016,https://www.huffpostbrasil.com/2016/09/09/datafolha-marta-suplicy-e-joao-doria-crescem-enquanto-celso-rus_n_11940500.html,SP,SÃO PAULO,1,p,1.0,,,Russomano,26.0,Haddad,9.0,Doria,16.0,Marta Suplicy,21.0,Major Olimpio,2.0,Luiza Erundina,7.0,,,,,,,,,,,,,,,,,,
SP-00567/2016,https://www.huffpostbrasil.com/2016/09/09/datafolha-marta-suplicy-e-joao-doria-crescem-enquanto-celso-rus_n_11940500.html,SP,SÃO PAULO,1,p,1.0,,,Russomano,26.0,Haddad,9.0,Doria,16.0,Marta Suplicy,21.0,Major Olimpio,2.0,Luiza Erundina,7.0,,,,,,,,,,,,,,,,,,
SP-00582/2012,https://vicentecidade21.blogspot.com/2012/08/eleicoes-sp-russomanno-fica-parado-com.html,SP,SÃO PAULO,1,p,1.0,,,Serra,22.0,Russomano,31.0,Haddad,14.0,Chalita,7.0,Soninha,4.0,Paulinho,2.0,Ana Luiza,1.0,,,,,,,,,,,,,,,,
SP-00800/2012,https://oglobo.globo.com/brasil/eleicoes-2012/datafolha-russomano-tem-32-serra-20-haddad-17-6066655,SP,SÃO PAULO,1,p,1.0,,,Serra,20.0,Russomano,32.0,Haddad,17.0,Chalita,8.0,Soninha,5.0,Paulinho,1.0,Giannazi,1.0,,,,,,,,,,,,,,,,
SP-00931/2012,https://folhanoroeste.blogspot.com/2012/09/saracuza-mantem-vantagem-em-urania_25.html,SP,URÂNIA,1,p,1.0,,,Saracuza,48.5,Neuseli,33.25,Sandra Correa,2.5,,,,,,,,,,,,,,,,,,,,,,,,
