url,tse_id,util,position,estimulada,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,person,suspensa,vv,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,SG_UE,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul40,cand41,resul41,cand42,resul42,cand43,resul43,instituto,scenario,total,NM_UE,for_patch_1,for_patch_4,year,for_patch_2,for_patch_3,OBS,ID,for_patch_5
https://www.jornaldosudoeste.com/pesquisa-confirma-lideranca-de-alan-vieira-na-corrida-pela-prefeitura-de-riacho-de-santana/,BA-00117/2016,TRUE,p,1,ALAN ANTONIO VIEIRA,"48,97",PAULO SERGIO GONDIM CASTRO,39.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,4936.81,NA,NA,NA,2016,NA,NA,NA,1,FALSE
https://correiodooeste.com.br/riacho-de-santana-alan-vieira-lidera-corrida-pela-prefeitura-diz-pesquisa/,BA-03564/2016,TRUE,p,1,ALAN ANTONIO VIEIRA,"48,97",PAULO SERGIO GONDIM CASTRO,39.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,4936.81,NA,NA,NA,2016,NA,NA,NA,1,FALSE
https://www.jornaldosudoeste.com/pesquisa-confirma-lideranca-de-alan-vieira-na-corrida-pela-prefeitura-de-riacho-de-santana/,BA-00117/2016,TRUE,p,0,ALAN ANTONIO VIEIRA,"49,29",PAULO SERGIO GONDIM CASTRO,39.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,4968.31,NA,NA,NA,2016,NA,NA,NA,1,FALSE
https://correiodooeste.com.br/riacho-de-santana-alan-vieira-lidera-corrida-pela-prefeitura-diz-pesquisa/,BA-03564/2016,TRUE,p,0,ALAN ANTONIO VIEIRA,"49,29",PAULO SERGIO GONDIM CASTRO,39.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,4968.31,NA,NA,NA,2016,NA,NA,NA,1,FALSE
https://www.bahianoticias.com.br/noticia/160960-pesquisa-istoesensus-aponta-empate-tecnico-entre-marina-e-aecio-para-2-turno.html,BR-00756/2014,TRUE,pr,,DILMA ROUSSEFF,35.1,MARINA SILVA,25,AECIO NEVES,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,80.8,NA,FALSE,NA,2014,FALSE,FALSE,NA,1,FALSE
https://www.pragmatismopolitico.com.br/2014/10/dilma-lidera-e-marina-e-aecio-estao-empatados-diz-pesquisa-istoesensus.html,BR-00918/2014,TRUE,pr,1,DILMA ROUSSEFF,"37,3",MARINA SILVA,"22,5",AECIO NEVES,"20,6",PASTOR EVERALDO,"1,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631,80.8,NA,FALSE,NA,2014,FALSE,FALSE,NA,1,FALSE
https://www.huffpostbrasil.com/2014/10/20/apesar-de-empate-tecnico-dilma-rousseff-abre-sobre-aecio-neves_n_6018234.html,BR-01136/2014,TRUE,pr,NA,DILMA ROUSSEFF,46,AECIO NEVES,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DESCONHECIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690,89,BRASIL,FALSE,NA,2014,FALSE,FALSE,NA,1,FALSE
https://portalcostanorte.com/vox-populi-dilma-tem-46-das-intencoes-de-voto-e-aecio-43/,BR-01140/2014,TRUE,pr,1,DILMA ROUSSEFF,46,AECIO NEVES,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691,89,BRASIL,FALSE,NA,2014,FALSE,FALSE,NA,1,FALSE
https://jornalpequeno.blog.br/johncutrim/edivaldo-lidera-em-pesquisa-tv-guarainstituto-exata/,MA-01714/2016,TRUE,p,1,EDIVALDO HOLANDA JUNIOR,46,EDUARDO BRAIDE,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1803,91,NA,FALSE,NA,2016,FALSE,FALSE,NA,1,FALSE
https://www.marrapa.com/tv-guara-joga-a-toalha-pesquisa-exata-decreta-vitoria-de-edivaldo-por-14-pontos-de-vantagem/,MA-04457/2016,TRUE,p,1,EDIVALDO HOLANDA JUNIOR,51,EDUARDO BRAIDE,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MARI,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1884,91,NA,FALSE,NA,2016,FALSE,FALSE,NA,1,FALSE
https://noticias.bol.uol.com.br/ultimas-noticias/eleicoes/2018/10/07/boca-de-urna-pesquisa-ibope-rio.htm,RJ-04204/2018,TRUE,s,NA,FLAVIO BOLSONARO,28,CESAR MAIA,18,AROLDE OLIVEIRA,14,LINDBERGH,12,CHICO ALENCAR,11,SENADOR EDUARDO LOPES,3,JOSE BONIFACIO,3,MIRO TEIXEIRA,3,ASPASIA,2,PASTOR EVERALDO,2,CYRO GARCIA,1,MATTOS NASCIMENTO,1,NA,NA,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4231,98,RIO DE JANEIRO,FALSE,NA,2018,FALSE,FALSE,NA,1,FALSE
https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/ibope/boca-de-urna-flavio-bolsonaro-lidera-disputa-para-o-senado-no-rj/,RJ-06174/2018,TRUE,s,1,FLAVIO BOLSONARO,28,CESAR MAIA,18,AROLDE OLIVEIRA,14,LINDBERGH,12,CHICO ALENCAR,11,JOSE BONIFACIO,3,MIRO TEIXEIRA,3,SENADOR EDUARDO LOPES,3,ASPASIA,2,PASTOR EVERALDO,2,CYRO CARGIA,1,MATTOS NASCIMENTO,1,NA,NA,PEDRO,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4256,98,RIO DE JANEIRO,FALSE,NA,2018,FALSE,FALSE,NA,1,FALSE
https://alexandre-pinheiro.blogspot.com/2018/09/,MA-07468/2018,TRUE,g,NA,FLAVIO DINO,59.5,ROSEANA SARNEY,33.8,MAURA JORGE,4.1,ROBERTO ROCHA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RODRIGO,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,99.3,NA,FALSE,NA,2018,FALSE,FALSE,NA,1,FALSE
http://garrone.com.br/2018/09/page/4/,MA-08882/2018,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ananindeuadebates.blogspot.com/2012/09/ananindeua-2012-nomes-mais-lembrados.html,PA-00098/2012,TRUE,v,0,FRANCY PEREIRA,2.3,MIRO SANOVA,2.3,LUIZ VASCONCELOS,2,RAY TAVARES,2,PAPAI REINALDO,1.8,RUI BEGOT,1.8,ERALDO,1.6,EMERSON V,1.4,MIRANDA,1.4,VALTINHO,1.4,CARLUCIO,1.1,GORDO,1.1,MARLON,1.1,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3071,21.3,NA,FALSE,NA,2012,FALSE,FALSE,NA,1,FALSE
https://www.jornalopcao.com.br/ultimas-noticias/serpes-vanderlan-cresce-e-se-aproxima-de-iris-na-disputa-pela-prefeitura-75396/,GO-07511/2016,TRUE,p,0,IRIS REZENDE,33.9,VANDERLAN CARDOSO,23.3,DELEGADO WALDIR,6.3,ADRIANA ACCORSI,5.5,FRANCISCO JUNIOR,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1514,71.3,GOIÃ‚NIA,FALSE,NA,2016,FALSE,FALSE,NA,1,FALSE
https://opiniaogoias.com.br/28663-eleicao-prefeitura-de-goiania-pesquisa-serpes-confirma-ibope-mostra-diferenca-de-105-entre-iris-rezende-e-vanderlan-cardoso-no-1o-turno-crescimento-de-6-do-2o-colocado-e-2o-turno-com-empate-tecn.html,GO-07584/2016,TRUE,p,0,IRIS REZENDE,33.9,VANDERLAN CARDOSO,23.3,DELEGADO WALDIR,6.3,ADRIANA ACCORSI,5.5,FRANCISCO JUNIOR,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1519,71.3,GOIÃ‚NIA,FALSE,NA,2016,FALSE,FALSE,NA,1,FALSE
https://www.jornalopcao.com.br/ultimas-noticias/serpes-vanderlan-cresce-e-se-aproxima-de-iris-na-disputa-pela-prefeitura-75396/,GO-07511/2016,TRUE,p,1,IRIS REZENDE,37.6,VANDERLAN CARDOSO,27.1,DELEGADO WALDIR,8.5,ADRIANA ACCORSI,7,FRANCISCO JUNIOR,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1515,82.7,GOIÃ‚NIA,FALSE,NA,2016,FALSE,FALSE,NA,1,FALSE
https://opiniaogoias.com.br/28663-eleicao-prefeitura-de-goiania-pesquisa-serpes-confirma-ibope-mostra-diferenca-de-105-entre-iris-rezende-e-vanderlan-cardoso-no-1o-turno-crescimento-de-6-do-2o-colocado-e-2o-turno-com-empate-tecn.html,GO-07584/2016,TRUE,p,1,IRIS REZENDE,37.6,VANDERLAN CARDOSO,27.1,DELEGADO WALDIR,8.5,ADRIANA ACCORSI,7,FRANCISCO JUNIOR,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520,82.7,GOIÃ‚NIA,FALSE,NA,2016,FALSE,FALSE,NA,1,FALSE
https://media.infomoney.com.br/portal/XPPoll_%202018_05_1.pdf?_ga=2.82070224.798992830.1531946442-965861204.1530733191,BR-05699/2018,TRUE,pr,0,JAIR BOLSONARO,13,LULA,11,GERALDO ALCKMIN,3,CIRO GOMES,2,MARINA SILVA,2,ALVARO DIAS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,879,32,BRASIL,FALSE,NA,2018,FALSE,FALSE,NA,1,FALSE
https://media.infomoney.com.br/portal/XPPoll_%202018_05_1.pdf?_ga=2.82070224.798992830.1531946442-965861204.1530733191,BR-09600/2018,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3.amazonaws.com/gp-info-eleicoes/wp-content/uploads/sites/2/2018/09/14104836/XP-Poll_-2018_09_wk02.pdf,BR-07277/2018,TRUE,pr,0,JAIR BOLSONARO,20,LULA,9,CIRO GOMES,6,FERNANDO HADDAD,5,GERALDO ALCKMIN,4,JOAO AMOEDO,3,MARINA SILVA,2,ALVARO DIAS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,944,51,BRASIL,FALSE,NA,2018,FALSE,FALSE,NA,1,FALSE
https://www.infomoney.com.br/politica/bolsonaro-lidera-mas-e-rejeitado-por-62-enquanto-4-candidatos-aparecem-empatados-mostra-xp-ipespe/,BR-00339/2018,TRUE,pr,0,LULA,18,JAIR BOLSONARO,16,CIRO GOMES,5,GERALDO ALCKMIN,4,JOAO AMOEDO,4,MARINA SILVA,3,FERNANDO HADDAD,2,ALVARO DIAS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,51,BRASIL,FALSE,NA,2018,FALSE,FALSE,NA,1,FALSE
https://media.infomoney.com.br/portal/XPPoll_%202018_05_1.pdf?_ga=2.82070224.798992830.1531946442-965861204.1530733191,BR-05699/2018,TRUE,pr,1,JAIR BOLSONARO,24,MARINA SILVA,14,CIRO GOMES,10,GERALDO ALCKMIN,9,ALVARO DIAS,4,FERNANDO HADDAD,3,HENRIQUE MEIRELLES,2,MANUELA D'AVILA,1,GUILHERME BOULOS,1,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,880,68,BRASIL,FALSE,NA,2018,FALSE,FALSE,NA,1,FALSE
https://media.infomoney.com.br/portal/XPPoll_%202018_05_1.pdf?_ga=2.82070224.798992830.1531946442-965861204.1530733191,BR-09600/2018,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/datafolha/ultimo-datafolha-mostra-bolsonaro-com-55-dos-votos-validos-contra-45-de-haddad/,BR-02460/2018,TRUE,pr,1,JAIR BOLSONARO,47,FERNANDO HADDAD,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,86,BRASIL,FALSE,NA,2018,FALSE,FALSE,NA,1,FALSE
https://www.correiodopovo.com.br/not%C3%ADcias/pol%C3%ADtica/realtime-big-data-bolsonaro-tem-55-haddad-45-1.280106,BR-04450/2018,TRUE,pr,NA,JAIR BOLSONARO,47,FERNANDO HADDAD,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839,86,BRASIL,FALSE,NA,2018,FALSE,FALSE,NA,1,FALSE
https://www.brasil247.com/poder/bolsonaro-tem-58-dos-votos-validos-contra-42-de-haddad-mostra-xp-ipespe,BR-05349/2018,TRUE,pr,NA,JAIR BOLSONARO,51,FERNANDO HADDAD,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866,88,BRASIL,FALSE,NA,2018,FALSE,FALSE,NA,1,FALSE
