tse_id;url;SG_UE;NM_UE;util;position;estimulada;suspensa;vv;cand1;resul1;cand2;resul2;cand3;resul3;cand4;resul4;cand5;resul5;cand6;resul6;cand7;resul7;cand8;resul8;cand9;resul9;cand10;resul10;cand11;resul11;cand12;resul12;cand13;resul13;cand14;resul14;cand15;resul15;cand16;resul16;cand17;resul17;cand18;resul18;cand19;resul19;cand20;resul20;cand21;resul21;cand22;resul22;cand23;resul23;cand24;resul24;cand25;resul25;cand26;resul26;cand27;resul27;cand28;resul28;cand29;resul29;cand30;resul30;cand31;resul31;cand32;resul32;cand33;resul33;cand34;resul34;cand35;resul35;cand36;resul36;cand37;resul37;cand38;resul38;cand39;resul39;cand40;resul40;cand41;resul41;cand42;resul42;cand43;resul43;manual_filename;obs;new_id;sg_uf.x;instituto;total;year;for_patch_2;person;for_patch_1;br_poll_id;state_poll_id;cannot_find_id;tse_id_new;scenario;for_patch_3;OBS;new_tse_id;for_patch_5;for_patch_4;ID;OBS.1;for_patch_7;CNPJ;for_patch_6;for_patch_9;for_patch_9_round_2
BR-02443/2018;https://www.jpnews.com.br/tres-lagoas/pesquisa-aponta-preferencias-de-eleitores-em-30-cidades-do-estado/113659/;BR;NA;1;pr;1;NA;NA;JAIR BOLSONARO;32.66;LULA SILVA;30.58;CIRO GOMES;8.91;MARINA SILVA;2.66;GERALDO ACKMIN;2.5;ALVARO DIAS;2.41;VALERIA MONTEIRO;1.41;RODRIGO MAIA;1.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;82.21;2018;FALSE;MARI;FALSE;NA;NA;NA;NA;753;FALSE;NA;NA;FALSE;NA;NA;NA;NA;26968293000199;TRUE;FALSE;FALSE
BR-02443/2018;https://www.jpnews.com.br/tres-lagoas/pesquisa-aponta-preferencias-de-eleitores-em-30-cidades-do-estado/113659/;BR;NA;0;pr;1;NA;NA;JAIR BOLSONARO;32.66;LULA SILVA;30.58;CIRO GOMES;8.91;MARINA SILVA;2.66;GERALDO ALCKMIN;2.5;ALVARO DIAS;2.41;VALERIA MONTERIO;1.41;RODRIGO MAIA;1.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;82.21;2018;FALSE;PEDRO;FALSE;NA;NA;NA;NA;753;FALSE;NA;NA;FALSE;NA;NA;NA;NA;26968293000199;TRUE;FALSE;FALSE
BR-02443/2018;https://www.jpnews.com.br/tres-lagoas/pesquisa-aponta-preferencias-de-eleitores-em-30-cidades-do-estado/113659/;BR;NA;0;pr;1;NA;NA;JAIR BOLSONARO;32.66;LULA SILVA;30.58;CIRO GOMES;8.91;MARINA SILVA;2.66;GERALDO ACKMIN;2.5;ALVARO DIAS;2.41;VALERIA MONTEIRO;1.41;RODRIGO MAIA;1.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8221;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26968293000199;NA;NA;FALSE
GO-07780/2018;http://jvonline.com.br/noticias/eleicoes/12507-caiado-venceria-eleicoes-no-primeiro-e-segundo-turno-diz-pesquisa-grupom.html;NA;GOIAS;1;g;0;NA;NA;RONALDO CAIADO;13.9;JOSE ELITON;4.8;MARCONI PERILLO;4.1;DANIEL VILELA;1.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/6-(envio_leva2)-pedro2-entrega.xlsx.csv;NA;NA;NA;NA;24.4;2018;FALSE;NA;FALSE;NA;NA;NA;NA;NA;FALSE;NA;NA;FALSE;NA;NA;NA;FALSE;NA;NA;FALSE;FALSE
GO-07780/2018;http://jvonline.com.br/noticias/eleicoes/12507-caiado-venceria-eleicoes-no-primeiro-e-segundo-turno-diz-pesquisa-grupom.html;NA;GOIAS;1;g;1;NA;NA;RONALDO CAIADO;40.2;DANIEL VILELA;10.65;JOSE ELITON;9.8;KATIA MARIA;3.4;FABRICIO ROSA;1.95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;manual/6-(envio_leva2)-pedro2-entrega.xlsx.csv;NA;NA;NA;NA;66;2018;FALSE;NA;FALSE;NA;NA;NA;NA;NA;FALSE;NA;NA;FALSE;NA;NA;NA;FALSE;NA;NA;FALSE;FALSE
GO-07780/2018;https://www.todapolitica.com/eleicoes-2018/pesquisa-eleitoral-goias/;NA;GOIAS;0;g;0;NA;NA;RONALDO CAIADO;13.9;JOSE ELITON;4.8;MARCONI PERILLO;4.1;DANIEL VILELA;1.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE
GO-07780/2018;https://www.todapolitica.com/eleicoes-2018/pesquisa-eleitoral-goias/;NA;GOIAS;0;g;1;NA;NA;RONALDO CAIADO;40.2;DANIEL VILELA;10.65;JOSE ELITON;9.8;KATIA MARIA;3.4;FABRICIO ROSA;1.95;VILMAR ROCHA;3.4;LUIS CESAR BUENO;1.9;PEDRO CHAVES;1.9;WILDER MORAIS;1.1;LUANA BALDY;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54.9;2018;FALSE;PEDRO;FALSE;NA;NA;NA;NA;1527;FALSE;NA;NA;FALSE;NA;1;NA;NA;NA;NA;FALSE;FALSE
MA-01741/2016;https://dalvanamendes.com/noticias/miltinho-aragao-lidera-pesquisa-em-sao-mateus-diz-escutec-2/;NA;SAO MATEUS DO MARANHAO;1;p;0;NA;NA;MILTINHO;35.7;ROVELIO;32;IRIOMAR;2.7;ROGERIO GARCIA;2.3;GENILSON ALVES;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;73.7;2016;FALSE;BOB;FALSE;NA;NA;NA;NA;1804;FALSE;NA;NA;FALSE;NA;NA;NA;NA;10892795000143;TRUE;FALSE;FALSE
MA-01741/2016;https://dalvanamendes.com/noticias/miltinho-aragao-lidera-pesquisa-em-sao-mateus-diz-escutec-2/;NA;SAO MATEUS DO MARANHAO;1;p;1;NA;NA;MILTINHO;42;ROVELIO;39.7;GENILSON ALVES;4;IRIOMAR;3.7;ROGERIO GARCIA;2.3;FABIO COURO;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;92.7;2016;FALSE;BOB;FALSE;NA;NA;NA;NA;1805;FALSE;NA;NA;FALSE;NA;NA;NA;NA;10892795000143;TRUE;FALSE;FALSE
MA-01741/2016;https://dalvanamendes.com/noticias/miltinho-aragao-lidera-pesquisa-em-sao-mateus-diz-escutec-2/;9237;SAO MATEUS DO MARANHAO;0;p;1;NA;NA;MILTINHO;42;ROVELIO;39.7;GENILSON ALVES;4;IRIOMAR;3.7;ROGERIO GARCIA;2.3;FABIO COURO;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;927;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10892795000143;NA;NA;FALSE
MA-01741/2016;https://dalvanamendes.com/noticias/miltinho-aragao-lidera-pesquisa-em-sao-mateus-diz-escutec-2/;9237;SAO MATEUS DO MARANHAO;0;p;0;NA;NA;MILTINHO;35.7;ROVELIO;32;IRIOMAR;2.7;ROGERIO GARCIA;2.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;727;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10892795000143;NA;NA;FALSE
MA-03934/2016;https://blogdoandrearaujo.com.br/2016/09/12/conceicao-do-lago-acu-ze-coco-lidera-pesquisa/;7501;NA;1;p;1;NA;NA;ZE COCO;44.99;ALEXANDRE LAVEPEL;27.39;MARCIA DANTAS;20.94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4547.33;2016;NA;BOB;NA;NA;NA;NA;NA;1905;NA;NA;NA;FALSE;NA;NA;NA;NA;06183431000117;TRUE;FALSE;FALSE
MA-03934/2016;https://blogdoandrearaujo.com.br/2016/09/12/conceicao-do-lago-acu-ze-coco-lidera-pesquisa/;8320;SAO JOAO DO PARAISO;0;p;1;NA;NA;ZE COCO;44.99;ALEXANDRE LAVEPEL;27.39;MARCIA DANTAS;20.94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;454733;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;06183431000117;NA;NA;FALSE
MA-08559/2016;http://www.irmaoinaldo.com.br/2016_09_27_archive.html;7315;CAXIAS;0;p;1;NA;NA;LEO COUTINHO;44.32;FABIO GENTIL;33.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77.57;2016;FALSE;FABRICIO;FALSE;NA;NA;NA;NA;2021;FALSE;NA;NA;FALSE;NA;NA;NA;NA;09636807000190;TRUE;FALSE;FALSE
MA-08559/2016;http://www.irmaoinaldo.com.br/2016_09_27_archive.html;7579;CAXIAS;1;p;1;NA;NA;LEO COUTINHO;44.32;FABIO GENTIL;33.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7757;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;09636807000190;NA;NA;FALSE
MT-04839/2016;https://www.midianews.com.br/politica/mendes-lidera-corrida-eleitoral-em-cuiaba-com-41-das-intencoes/270104;NA;CUIABA;1;p;0;NA;NA;MAURO MENDES;17.3;PROCURADOR MAURO;1.5;EMANUEL PINHEIRO;0.8;ROBERTO FRANCA;0.5;LUDIO CABRAL;0.3;CHICO GALINDO;0.3;TONINHO SOUZA;0.3;VALTENIR PEREIRA;NA;SERYS MARLI;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;177;2016;FALSE;BOB;FALSE;NA;NA;NA;NA;2902;NA;NA;NA;FALSE;NA;97;NA;NA;11400305000107;TRUE;FALSE;FALSE
