tse_id,estimulada,position,scenario,candidate,value
MA056232016,False,p,0,França do Macaquinho,22.6
MA056232016,False,p,0,Airton de Newton,11.4
MA056232016,False,p,0,Leonardo,1.0
MA056232016,False,p,0,Otávio Rodrigues,0.7
MA056232016,False,p,0,Drª. Simone,0.5
MA056232016,False,p,0,Flávio do Posto,0.5
MA056232016,False,p,0,Ninguém,0.7
MA056232016,False,p,0,NS/NR,62.5
MA056232016,True,p,1,França do Macaquinho,41.4
MA056232016,True,p,1,Airton de Newton,18.6
MA056232016,True,p,1,Flávio do Posto,3.2
MA056232016,True,p,1,Nenhum deles,13.6
MA056232016,True,p,1,NS/NR,23.1
MA056232016,True,p,2,França do Macaquinho,43.2
MA056232016,True,p,2,Airton de Newton,19.1
MA056232016,True,p,2,Nenhum deles,14.4
MA056232016,True,p,2,NS/NR,23.3
MA021482016,False,p,3,Rodrigo Oliveira,63.6
MA021482016,False,p,3,Glauber Azevedo,23.5
MA021482016,False,p,3,Ninguém,0.3
MA021482016,False,p,3,NS/NR,12.6
MA021482016,True,p,4,Rodrigo Oliveira,64.6
MA021482016,True,p,4,Glauber Azevedo,23.8
MA021482016,True,p,4,Nenhum deles,1.3
MA021482016,True,p,4,NS/NR,10.3
MA001712012,False,p,5,Chico Nunes,46.8
MA001712012,False,p,5,Pastor Wilson,25.9
MA001712012,False,p,5,Josélio do Rádio,13.6
MA001712012,False,p,5,NS/NR,11.6
MA001712012,True,p,6,Chico Nunes,48.8
MA001712012,True,p,6,Pastor Wilson,26.6
MA001712012,True,p,6,Josélio do Rádio,14.6
MA001712012,True,p,6,NS/NR,7.6
MA084052016,False,p,7,Luizinho Barros,51.8
MA084052016,False,p,7,Dino Penha,13.5
MA084052016,False,p,7,Carrinho,13.5
MA084052016,False,p,7,Ninguém,1.8
MA084052016,False,p,7,NS/NR,19.5
MA084052016,True,p,8,Luizinho Barros,54.5
MA084052016,True,p,8,Dino Penha,16.5
MA084052016,True,p,8,Carrinho,14.8
MA084052016,True,p,8,Raimundo Borges,1.0
MA084052016,True,p,8,Nenhum deles,2.3
MA084052016,True,p,8,NS/NR,11.0
MA0079916,False,p,9,Francisco Nagib,27.3
MA0079916,False,p,9,Biné Figueiredo,16.4
MA0079916,False,p,9,Pedro Belo,7.2
MA0079916,False,p,9,Camilo Figueiredo,3.0
MA0079916,False,p,9,Chiquinho do SAAE,3.0
MA0079916,False,p,9,João dos Plásticos,1.0
MA0079916,False,p,9,Ricardinho Archer,0.5
MA0079916,False,p,9,Ninguém,3.2
MA0079916,False,p,9,NS/NR,38.5
MA0079916,True,p,10,Francisco Nagib,37.7
MA0079916,True,p,10,Biné Figueiredo,25.6
MA0079916,True,p,10,Pedro Belo,14.1
MA0079916,True,p,10,Chiquinho do SAAE,9.9
MA0079916,True,p,10,Dr. Mendes,2.0
MA0079916,True,p,10,João dos Plásticos,1.2
MA0079916,True,p,10,Nenhum deles,2.2
MA0079916,True,p,10,NS/NR,7.2
MA0079916,True,p,11,Francisco Nagib,37.7
MA0079916,True,p,11,Biné Figueiredo,25.8
MA0079916,True,p,11,Pedro Belo,15.4
MA0079916,True,p,11,Chiquinho do SAAE,10.4
MA0079916,True,p,11,Nenhum deles,2.7
MA0079916,True,p,11,NS/NR,7.9
MA0079916,True,p,12,Francisco Nagib,41.4
MA0079916,True,p,12,Pedro Belo,23.6
MA0079916,True,p,12,Camilo Figueiredo,8.7
MA0079916,True,p,12,Nenhum deles,17.4
MA0079916,True,p,12,NS/NR,8.9
MA0079916,True,p,13,Francisco Nagib,41.4
MA0079916,True,p,13,Pedro Belo,24.1
MA0079916,True,p,13,Rodrigo Figueiredo,6.7
MA0079916,True,p,13,Nenhum deles,18.6
MA0079916,True,p,13,NS/NR,9.2
MA067592016,False,p,14,Mercial Arruda,31.0
MA067592016,False,p,14,Simone Limeira,11.0
MA067592016,False,p,14,Marinaldo do Gesso,6.5
MA067592016,False,p,14,Arthurzinho,2.0
MA067592016,False,p,14,Adoan Sapucaia,1.5
MA067592016,False,p,14,Otsuka,1.0
MA067592016,False,p,14,Ezequiel,0.5
MA067592016,False,p,14,Ninguém,8.3
MA067592016,False,p,14,NS/NR,38.3
MA067592016,True,p,15,Mercial Arruda,51.3
MA067592016,True,p,15,Simone Limeira,15.0
MA067592016,True,p,15,Marinaldo do Gesso,9.5
MA067592016,True,p,15,Adoan Sapucaia,3.3
MA067592016,True,p,15,Arthurzinho,2.5
MA067592016,True,p,15,Ezequiel,1.3
MA067592016,True,p,15,Nenhum deles,11.5
MA067592016,True,p,15,NS/NR,5.8
MA067592016,True,p,16,Mercial Arruda,53.3
MA067592016,True,p,16,Simone Limeira,16.8
MA067592016,True,p,16,Adoan Sapucaia,3.5
MA067592016,True,p,16,Arthurzinho,2.8
MA067592016,True,p,16,Ezequiel,2.3
MA067592016,True,p,16,Nenhum deles,14.5
MA067592016,True,p,16,NS/NR,7.0
MA067592016,True,p,17,Mercial Arruda,53.8
MA067592016,True,p,17,Marinaldo do Gesso,8.3
MA067592016,True,p,17,Adoan Sapucaia,4.0
MA067592016,True,p,17,Arthurzinho,3.3
MA067592016,True,p,17,Ezequiel,3.0
MA067592016,True,p,17,Nenhum deles,20.3
MA067592016,True,p,17,NS/NR,7.5
MA067592016,True,p,18,Mercial Arruda,51.5
MA067592016,True,p,18,Simone Limeira,17.3
MA067592016,True,p,18,Marinaldo do Gesso,10.0
MA067592016,True,p,18,Nenhum deles,14.3
MA067592016,True,p,18,NS/NR,7.0
MA018372016,False,p,19,Talita Laci,24.7
MA018372016,False,p,19,Ocileia Paraíba,15.0
MA018372016,False,p,19,Eudes Barros,14.3
MA018372016,False,p,19,Moreira,2.3
MA018372016,False,p,19,Ninguém,3.3
MA018372016,False,p,19,NS/NR,40.3
MA018372016,True,p,20,Talita Laci,34.0
MA018372016,True,p,20,Ocileia Paraíba,25.7
MA018372016,True,p,20,Eudes Barros,21.7
MA018372016,True,p,20,Moreira,4.7
MA018372016,True,p,20,Nenhum deles,7.7
MA018372016,True,p,20,NS/NR,6.3
MA018372016,True,p,21,Talita Laci,35.3
MA018372016,True,p,21,Ocileia Paraíba,26.3
MA018372016,True,p,21,Eudes Barros,24.0
MA018372016,True,p,21,Nenhum deles,8.3
MA018372016,True,p,21,NS/NR,6.0
MA018372016,True,p,22,Talita Laci,43.0
MA018372016,True,p,22,Ocileia Paraíba,36.7
MA018372016,True,p,22,Nenhum deles,15.3
MA018372016,True,p,22,NS/NR,5.0
MA018372016,True,p,23,Talita Laci,44.0
MA018372016,True,p,23,Eudes Barros,33.3
MA018372016,True,p,23,Nenhum deles,19.0
MA018372016,True,p,23,NS/NR,3.7
MA008742016,False,p,24,Edmilson Viégas,44.2
MA008742016,False,p,24,Ronildo Campos,35.0
MA008742016,False,p,24,Prof. Amarildo,4.6
MA008742016,False,p,24,Matheus Muniz,1.7
MA008742016,False,p,24,Ninguém,1.3
MA008742016,False,p,24,NS/NR,13.2
MA008742016,True,p,25,Edmilson Viégas,45.2
MA008742016,True,p,25,Ronildo Campos,37.3
MA008742016,True,p,25,Prof. Amarildo,5.0
MA008742016,True,p,25,Matheus Muniz,2.6
MA008742016,True,p,25,Nenhum deles,3.0
MA008742016,True,p,25,NS/NR,6.9
MA004802012,True,p,26,Dulcinha,53.0
MA004802012,True,p,26,Dr. Flávio,41.0
MA004802012,True,p,26,Branco/Nulo,2.5
MA004802012,True,p,26,NS/NR,3.5
MA061902016,False,p,27,Cláudia,44.2
MA061902016,False,p,27,Jesiel Araújo,16.0
MA061902016,False,p,27,Queiroz,15.2
MA061902016,False,p,27,Tereza Muniz,7.0
MA061902016,False,p,27,NS/NR,17.6
MA061902016,True,p,28,Cláudia,49.0
MA061902016,True,p,28,Jesiel Araújo,17.8
MA061902016,True,p,28,Queiroz,15.6
MA061902016,True,p,28,Tereza Muniz,7.6
MA061902016,True,p,28,Nenhum deles,1.6
MA061902016,True,p,28,NS/NR,8.4
MA026352016,False,p,29,Dra. Vianey Bringel,65.0
MA026352016,False,p,29,Drº Ribamar,11.8
MA026352016,False,p,29,Dr. Valter Costa,5.0
MA026352016,False,p,29,Lindenberg Braga,0.5
MA026352016,False,p,29,Ednalva,0.5
MA026352016,False,p,29,Ninguém,5.3
MA026352016,False,p,29,NS/NR,12.0
MA026352016,True,p,30,Dra. Vianey Bringel,69.5
MA026352016,True,p,30,Drº Ribamar,14.3
MA026352016,True,p,30,Dr. Valter Costa,8.0
MA026352016,True,p,30,Lindenberg Braga,1.0
MA026352016,True,p,30,Ednalva,1.0
MA026352016,True,p,30,Nenhum deles,3.0
MA026352016,True,p,30,NS/NR,3.3
MA002442016,False,p,31,Emílio Weba,40.0
MA002442016,False,p,31,Nenhum deles,1.0
MA002442016,False,p,31,NS/NR,26.0
MA002442016,True,p,32,Emílio Weba,45.3
MA002442016,True,p,32,Nenhum deles,6.3
MA002442016,True,p,32,NS/NR,10.7
MA001582012,False,p,33,Gleydson Resende,47.0
MA001582012,False,p,33,Fleury Ribeiro,41.5
MA001582012,False,p,33,NS/NR,11.5
MA001582012,True,p,34,Gleydson Resende,47.5
MA001582012,True,p,34,Fleury Ribeiro,42.5
MA001582012,True,p,34,NS/NR,10.0
MA005252012,True,p,35,Edivaldo Holanda Jr.,54.6
MA005252012,True,p,35,Castelo,34.3
MA005252012,True,p,35,NS/NR,6.9
MA005252012,True,p,35,Branco/Nulo,4.3
MA013782016,False,p,36,Romildo do Hospital,40.0
MA013782016,False,p,36,Chico Canavieira,19.0
MA013782016,False,p,36,Alexandre Baquil,19.0
MA013782016,False,p,36,Antonio Chico,1.5
MA013782016,False,p,36,Alfredo Filho (Dão),1.3
MA013782016,False,p,36,Ninguém,0.8
MA013782016,False,p,36,NS/NR,18.5
MA013782016,True,p,37,Romildo do Hospital,46.5
MA013782016,True,p,37,Chico Canavieira,20.8
MA013782016,True,p,37,Alexandre Baquil,20.5
MA013782016,True,p,37,Antonio Chico,1.5
MA013782016,True,p,37,Alfredo Filho (Dão),1.0
MA013782016,True,p,37,Nenhum deles,0.8
MA013782016,True,p,37,NS/NR,9.0
MA070112016,False,p,38,Éric Costa,50.2
MA070112016,False,p,38,Júnior do Nenzim,33.7
MA070112016,False,p,38,Selma Carvalho,0.4
MA070112016,False,p,38,Ninguém,1.6
MA070112016,False,p,38,NS/NR,14.1
MA070112016,True,p,39,Éric Costa,54.2
MA070112016,True,p,39,Júnior do Nenzim,36.1
MA070112016,True,p,39,Selma Carvalho,0.8
MA070112016,True,p,39,Nenhum deles,1.8
MA070112016,True,p,39,NS/NR,7.2
MA004492012,True,p,40,Cristiane Damião,50.2
MA004492012,True,p,40,Sabry,41.0
MA004492012,True,p,40,Maria Lira,0.0
MA004492012,True,p,40,Branco/Nulo,2.9
MA004492012,True,p,40,NS/NR,5.9
MA001942012,False,p,41,Doris,36.0
MA001942012,False,p,41,Dídima Coelho,25.3
MA001942012,False,p,41,Zé Mario,23.0
MA001942012,False,p,41,NS/NR,15.7
MA001942012,True,p,42,Doris,37.3
MA001942012,True,p,42,Dídima Coelho,26.3
MA001942012,True,p,42,Zé Mario,25.7
MA001942012,True,p,42,NS/NR,10.7
MA008362016,False,p,43,Ildon Marques,18.8
MA008362016,False,p,43,Delegado Assis Ramos,11.3
MA008362016,False,p,43,Rosangela Curado,11.2
MA008362016,False,p,43,Marco Aurélio,8.0
MA008362016,False,p,43,Davizinho,3.3
MA008362016,False,p,43,Pastor Porto,1.3
MA008362016,False,p,43,Daniel Souza,0.3
MA008362016,False,p,43,Ninguém,1.0
MA008362016,False,p,43,NS/NR,44.7
MA008362016,True,p,44,Ildon Marques,26.2
MA008362016,True,p,44,Delegado Assis Ramos,19.8
MA008362016,True,p,44,Rosangela Curado,19.2
MA008362016,True,p,44,Marco Aurélio,18.2
MA008362016,True,p,44,Davizinho,6.8
MA008362016,True,p,44,Pastor Porto,3.2
MA008362016,True,p,44,Rosi Vicentine,0.3
MA008362016,True,p,44,Daniel Souza,0.3
MA008362016,True,p,44,Nenhum deles,2.3
MA008362016,True,p,44,NS/NR,3.7
MA008362016,True,p,45,Ildon Marques,27.5
MA008362016,True,p,45,Delegado Assis Ramos,20.3
MA008362016,True,p,45,Rosangela Curado,19.8
MA008362016,True,p,45,Marco Aurélio,19.2
MA008362016,True,p,45,Pastor Porto,4.2
MA008362016,True,p,45,Nenhum deles,2.5
MA008362016,True,p,45,NS/NR,6.5
MA008362016,True,p,46,Ildon Marques,26.7
MA008362016,True,p,46,Delegado Assis Ramos,20.5
MA008362016,True,p,46,Rosangela Curado,19.8
MA008362016,True,p,46,Marco Aurélio,19.5
MA008362016,True,p,46,Davizinho,7.8
MA008362016,True,p,46,Nenhum deles,2.0
MA008362016,True,p,46,NS/NR,3.7
MA008362016,True,p,47,Rosangela Curado,30.2
MA008362016,True,p,47,Marco Aurélio,25.3
MA008362016,True,p,47,Delegado Assis Ramos,24.7
MA008362016,True,p,47,Pastor Porto,5.7
MA008362016,True,p,47,Nenhum deles,7.8
MA008362016,True,p,47,NS/NR,6.3
MA003312012,True,p,48,Soliney Silva,58.7
MA003312012,True,p,48,Américo de Sousa,32.0
MA003312012,True,p,48,Doralice Santana,1.3
MA003312012,True,p,48,Branco/Nulo,2.7
MA003312012,True,p,48,NS/NR,5.3
PI085672016,False,p,49,Amadeu Campos,5.6
PI085672016,False,p,49,Firmino Filho,15.7
PI085672016,False,p,49,Dr. Pessoa,12.2
PI085672016,False,p,49,Elmano Férer,1.8
PI085672016,False,p,49,Wellington Dias,0.6
PI085672016,False,p,49,Fábio Nono,0.3
PI085672016,False,p,49,Hugo Napoleão,0.2
PI085672016,False,p,49,Flora Isabel,0.2
PI085672016,False,p,49,Albert,0.1
PI085672016,False,p,49,Paixão,0.1
PI085672016,False,p,49,Silas Freire,0.1
PI085672016,False,p,49,Graça Amorim,0.1
PI085672016,False,p,49,Nenhum deles,8.6
PI085672016,False,p,49,NS/NR,54.4
PI085672016,True,p,50,Firmino Filho,29.0
PI085672016,True,p,50,Dr. Pessoa,27.6
PI085672016,True,p,50,Amadeu Campos,14.9
PI085672016,True,p,50,Nenhum deles,13.7
PI085672016,True,p,50,NS/NR,14.8
PI085672016,True,p,51,Firmino Filho,30.0
PI085672016,True,p,51,Dr. Pessoa,28.9
PI085672016,True,p,51,Elmano Férrer,10.2
PI085672016,True,p,51,Nenhum deles,14.4
PI085672016,True,p,51,NS/NR,16.5
MA074382016,False,p,52,Zé Gomes,48.4
MA074382016,False,p,52,Francisca Primo,43.2
MA074382016,False,p,52,NS/NR,8.4
MA074382016,True,p,53,Zé Gomes,50.4
MA074382016,True,p,53,Francisca Primo,44.0
MA074382016,True,p,53,Nenhum delels,2.7
MA074382016,True,p,53,NS/NR,3.0
MA000852012,False,p,54,Dr. Juran,57.5
MA000852012,False,p,54,Raimundinho,26.5
MA000852012,False,p,54,Pryscilla,2.0
MA000852012,False,p,54,Orfileno Raposão,0.5
MA000852012,False,p,54,NS/NR,13.3
MA000852012,True,p,55,Dr. Juran,58.8
MA000852012,True,p,55,Raimundinho,27.8
MA000852012,True,p,55,Pryscilla,2.5
MA000852012,True,p,55,"Lima da Eletronorte",0.5
MA000852012,True,p,55,Orfileno Raposão,0.3
MA000852012,True,p,55,Nenhum destes,0.3
MA000852012,True,p,55,NS/NR,10.0
MA003962012,True,p,56,Vera,48.3
MA003962012,True,p,56,Dr. Marcio,37.3
MA003962012,True,p,56,Banga,2.0
MA003962012,True,p,56,Riba da Construção Civil,2.5
MA003962012,True,p,56,Branco/Nulo,3.5
MA003962012,True,p,56,NS/NR,6.5
MA098042016,False,p,57,Maisa Burlamaqui,50.0
MA098042016,False,p,57,Jorge Oliveira,38.7
MA098042016,False,p,57,NS/NR,11.3
MA098042016,True,p,58,Maisa Burlamaqui,51.7
MA098042016,True,p,58,Jorge Oliveira,39.3
MA098042016,True,p,58,Professor Edilson,0.0
MA098042016,True,p,58,Nenhum deles,1.3
MA098042016,True,p,58,NS/NR,7.7
MA000722012,False,p,59,Léo Coutinho,41.6
MA000722012,False,p,59,Paulo Marinho Jr.,13.6
MA000722012,False,p,59,Helton Mesquita,6.2
MA000722012,False,p,59,Agostinho Neto,1.4
MA000722012,False,p,59,Herbert Silva,1.1
MA000722012,False,p,59,Mundico Teixeira,0.9
MA000722012,False,p,59,Ninguém,5.3
MA000722012,False,p,59,NS/NR,29.9
MA000722012,True,p,60,Léo Coutinho,49.9
MA000722012,True,p,60,Helton Mesquita,10.1
MA000722012,True,p,60,Paulo Marinho Jr.,21.6
MA000722012,True,p,60,Mundico Teixeira,1.4
MA000722012,True,p,60,Agostinho Neto,1.1
MA000722012,True,p,60,Herbert Silva,0.9
MA000722012,True,p,60,Nenhum destes,6.2
MA000722012,True,p,60,NS/NR,8.7
MA030672016,False,p,61,Edivaldo Holanda Jr.,34.4
MA030672016,False,p,61,Wellington do Curso,25.4
MA030672016,False,p,61,Eliziane Gama,9.8
MA030672016,False,p,61,Eduardo Braide,3.4
MA030672016,False,p,61,Fábio Câmara,2.4
MA030672016,False,p,61,Rose Sales,1.6
MA030672016,False,p,61,Zé Luis Lago,0.4
MA030672016,False,p,61,Cláudia Durans,0.4
MA030672016,False,p,61,Valdeny Barros,0.3
MA030672016,False,p,61,Ninguém,5.9
MA030672016,False,p,61,NS/NR,16.3
MA030672016,True,p,62,Edivaldo Holanda Jr.,35.8
MA030672016,True,p,62,Wellington do Curso,26.3
MA030672016,True,p,62,Eliziane Gama,11.5
MA030672016,True,p,62,Eduardo Braide,4.6
MA030672016,True,p,62,Fábio Câmara,3.5
MA030672016,True,p,62,Rose Sales,2.9
MA030672016,True,p,62,Zé Luis Lago,0.5
MA030672016,True,p,62,Cláudia Durans,0.5
MA030672016,True,p,62,Valdeny Barros,0.4
MA030672016,True,p,62,Nenhum deles,5.1
MA030672016,True,p,62,NS/NR,9.0
MA030672016,True,p,63,Edivaldo Holanda Jr.,50.4
MA030672016,True,p,63,Eliziane Gama,22.0
MA030672016,True,p,63,Nenhum deles,19.5
MA030672016,True,p,63,NS/NR,8.1
MA030672016,True,p,64,Edivaldo Holanda Jr.,42.9
MA030672016,True,p,64,Wellington do Curso,39.6
MA030672016,True,p,64,Nenhum deles,9.5
MA030672016,True,p,64,NS/NR,8.0
MA030672016,True,p,65,Wellington do Curso,53.1
MA030672016,True,p,65,Eliziane Gama,19.4
MA030672016,True,p,65,Nenhum deles,19.3
MA030672016,True,p,65,NS/NR,8.3
MA033462016,False,p,66,Ruivo,46.0
MA033462016,False,p,66,Paulo Fubuia,38.0
MA033462016,False,p,66,Abraão da Farmacia,4.3
MA033462016,False,p,66,Ninguém,0.7
MA033462016,False,p,66,NS/NR,10.3
MA033462016,True,p,67,Ruivo,46.3
MA033462016,True,p,67,Paulo Fubuia,38.7
MA033462016,True,p,67,Abraão da Farmacia,4.7
MA033462016,True,p,67,Nenhum deles,1.7
MA033462016,True,p,67,NS/NR,8.0
MA004122012,True,p,68,Daluz,51.3
MA004122012,True,p,68,Osto,42.1
MA004122012,True,p,68,Branco/Nulo,2.6
MA004122012,True,p,68,NS/NR,4.0
MA033182016,False,p,69,Irene,12.5
MA033182016,False,p,69,Orlando,7.3
MA033182016,False,p,69,Raimundinho,5.8
MA033182016,False,p,69,Juran,40.5
MA033182016,False,p,69,Ninguém,1.5
MA033182016,False,p,69,NS/NR,32.5
MA033182016,True,p,70,Juran,50.3
MA033182016,True,p,70,Irene,19.3
MA033182016,True,p,70,Orlando,11.0
MA033182016,True,p,70,Raimundinho,9.3
MA033182016,True,p,70,Nenhum deles,2.5
MA033182016,True,p,70,NS/NR,7.8
MA033182016,True,p,71,Juran,52.5
MA033182016,True,p,71,Raimundinho,18.8
MA033182016,True,p,71,Orlando,14.8
MA033182016,True,p,71,Nenhum deles,5.3
MA033182016,True,p,71,NS/NR,8.8
MA033182016,True,p,72,Juran,50.8
MA033182016,True,p,72,Irene,22.0
MA033182016,True,p,72,Orlando,13.8
MA033182016,True,p,72,Nenhum deles,5.0
MA033182016,True,p,72,NS/NR,8.5
MA033182016,True,p,73,Juran,54.3
MA033182016,True,p,73,Irene,27.0
MA033182016,True,p,73,Nenhum deles,9.5
MA033182016,True,p,73,NS/NR,9.3
MA033182016,True,p,74,Juran,55.3
MA033182016,True,p,74,Raimundinho,26.5
MA033182016,True,p,74,Nenhum deles,9.0
MA033182016,True,p,74,NS/NR,9.3
MA033182016,True,p,75,Juran,53.3
MA033182016,True,p,75,Orlando,22.8
MA033182016,True,p,75,Nenhum deles,11.0
MA033182016,True,p,75,NS/NR,13.0
MA000862012,False,p,76,Jairo Madeira,51.7
MA000862012,False,p,76,Dr. Enoque,24.2
MA000862012,False,p,76,Chico Soares,6.3
MA000862012,False,p,76,NS/NR,17.9
MA000862012,True,p,77,Jairo Madeira,56.0
MA000862012,True,p,77,Dr. Enoque,24.8
MA000862012,True,p,77,Chico Soares,7.0
MA000862012,True,p,77,Evilásio V. Nogueira,1.0
MA000862012,True,p,77,Nenhum destes,3.3
MA000862012,True,p,77,NS/NR,7.9
MA002592012,False,p,78,Luciano Leitoa,54.5
MA002592012,False,p,78,Edivar Ribeiro,23.0
MA002592012,False,p,78,"Alexandre Almeida",12.5
MA002592012,False,p,78,Costa,1.5
MA002592012,False,p,78,NS/NR,8.5
MA002592012,True,p,79,Luciano Leitoa,55.0
MA002592012,True,p,79,Edivar Ribeiro,24.0
MA002592012,True,p,79,"Alexandre Almeida",13.0
MA002592012,True,p,79,Costa,1.5
MA002592012,True,p,79,NS/NR,6.5
MA0410716,False,p,80,Eric Costa,44.2
MA0410716,False,p,80,Júnior do Nenzim,26.2
MA0410716,False,p,80,Dr. Jerômino Ferry,3.2
MA0410716,False,p,80,Raimundo Carvalho,1.0
MA0410716,False,p,80,Nenzim,0.6
MA0410716,False,p,80,Nilda Barbalho,0.4
MA0410716,False,p,80,Ninguém,2.2
MA0410716,False,p,80,NS/NR,22.2
MA0410716,True,p,81,Eric Costa,50.2
MA0410716,True,p,81,Júnior do Nenzim,29.0
MA0410716,True,p,81,Dr. Jerômino Ferry,5.2
MA0410716,True,p,81,Raimundo Carvalho,1.2
MA0410716,True,p,81,Nenhum deles,5.0
MA0410716,True,p,81,NS/NR,9.4
MA0410716,True,p,82,Eric Costa,52.0
MA0410716,True,p,82,Júnior do Nenzim,30.0
MA0410716,True,p,82,Raimundo Carvalho,2.0
MA0410716,True,p,82,Nenhum deles,6.4
MA0410716,True,p,82,NS/NR,9.6
MA0410716,True,p,83,Eric Costa,52.4
MA0410716,True,p,83,Júnior do Nenzim,30.2
MA0410716,True,p,83,Nenhum deles,7.8
MA0410716,True,p,83,NS/NR,9.6
MA0410716,True,p,84,Eric Costa,53.4
MA0410716,True,p,84,Dr. Jerômino Ferry,26.2
MA0410716,True,p,84,Nenhum deles,9.6
MA0410716,True,p,84,NS/NR,10.8
MA0410716,True,p,85,Eric Costa,56.2
MA0410716,True,p,85,Raimundo Carvalho,21.0
MA0410716,True,p,85,Nenhum deles,11.8
MA0410716,True,p,85,NS/NR,11.0
MA000922012,False,p,86,Luciano Leitoa,54.3
MA000922012,False,p,86,Edivar Ribeiro,15.3
MA000922012,False,p,86,Alexandre Almeida,15.0
MA000922012,False,p,86,NS/NR,15.5
MA000922012,True,p,87,Luciano Leitoa,56.0
MA000922012,True,p,87,Edivar Ribeiro,16.8
MA000922012,True,p,87,Alexandre Almeida,15.3
MA000922012,True,p,87,Costa,0.5
MA000922012,True,p,87,NS/NR,11.5
MA068632016,False,p,88,Chico Velho,53.7
MA068632016,False,p,88,Tio Gal,35.7
MA068632016,False,p,88,Ninguém,0.7
MA068632016,False,p,88,NS/NR,10.0
